"campaign_id","campaign_name","adgroup_id","adgroup_name","adgroup_targetting_type","product_id","product_name","adgroup_status","campaign_status","impressions","clicks","ctr","cvr","avg_cpc","budget_spend","units_sold_direct","units_sold_indirect","units_sold_total","direct_revenue","indirect_revenue","total_revenue","roi_direct","roi_indirect","roi_total"
"CMP1318141","SANGRIA MARCH 2026","ADG1393895","SANGRIA 2","Auto Targeting","40310765","Sangria Printed  Sarees","ADGROUP_STATUS_DAILY_BUDGET_MET","DAILY_BUDGET_MET","3714","64","1.7200","0.0000","1.200000","76.80","0","0","0","0.0000","0.0000","0.0000","0.00000000","0.00000000","0.0000"
"CMP1320232","KALINI MARCH 2026","ADG1394021","KALINI MIX 2","Auto Targeting","38992864","KALINI Floral Saree","ADGROUP_STATUS_DAILY_BUDGET_MET","DAILY_BUDGET_MET","538","21","3.9000","0.0000","1.200000","25.20","0","0","0","0.0000","0.0000","0.0000","0.00000000","0.00000000","0.0000"
"CMP1318141","SANGRIA MARCH 2026","ADG1393895","SANGRIA 2","Auto Targeting","33365803","Sangria Batik Printed Tussar Saree With Unstitched Blouse Piece","ADGROUP_STATUS_DAILY_BUDGET_MET","DAILY_BUDGET_MET","440","4","0.9100","0.0000","1.200000","4.80","0","0","0","0.0000","0.0000","0.0000","0.00000000","0.00000000","0.0000"
"CMP1318141","SANGRIA MARCH 2026","ADG1393895","SANGRIA 2","Auto Targeting","39657925","Sangria Printed Sarees With Unstitched Blouse Piece","ADGROUP_STATUS_DAILY_BUDGET_MET","DAILY_BUDGET_MET","458","10","2.1800","0.0000","1.200000","12.00","0","0","0","0.0000","0.0000","0.0000","0.00000000","0.00000000","0.0000"
"CMP1299835","SATRANI MARCH","ADG1394162","SATRANI NEW 2","Auto Targeting","40099999","Satrani Woven Design Zari Pure Chiffon Designer Saree","ADGROUP_STATUS_DAILY_BUDGET_MET","DAILY_BUDGET_MET","2619","62","2.3700","0.0000","1.200000","74.40","0","0","0","0.0000","0.0000","0.0000","0.00000000","0.00000000","0.0000"
"CMP1320289","MITERA MARCH 2026","ADG1394106","MITERA MIX 2","Auto Targeting","40091173","Mitera Ethnic Motifs Pure Georgette Saree","ADGROUP_STATUS_DAILY_BUDGET_MET","DAILY_BUDGET_MET","2073","51","2.4600","0.0000","1.200000","61.20","0","0","0","0.0000","0.0000","0.0000","0.00000000","0.00000000","0.0000"
"CMP1318141","SANGRIA MARCH 2026","ADG1393895","SANGRIA 2","Auto Targeting","40091403","Sangria Printed Saree with Unstitched Blouse","ADGROUP_STATUS_DAILY_BUDGET_MET","DAILY_BUDGET_MET","780","17","2.1800","0.0000","1.200000","20.40","0","0","0","0.0000","0.0000","0.0000","0.00000000","0.00000000","0.0000"
"CMP1320289","MITERA MARCH 2026","ADG1394106","MITERA MIX 2","Auto Targeting","40310173","Mitera Poly Georgette Saree","ADGROUP_STATUS_DAILY_BUDGET_MET","DAILY_BUDGET_MET","143","3","2.1000","0.0000","1.200000","3.60","0","0","0","0.0000","0.0000","0.0000","0.00000000","0.00000000","0.0000"
"CMP1143430","Kalini Saree Feb - 2026","ADG1246115","NEW PROMOTE","Auto Targeting","40091105","KALINI Woven Design Zari Silk Blend Fusion Paithani Saree","ADGROUP_STATUS_EXPIRED","CAMPAIGN_EXPIRED","2","0","0.0000",,,"0.00","0","0","0","0.0000","0.0000","0.0000",,,
"CMP1320232","KALINI MARCH 2026","ADG1394033","KALINI NEW 2","Auto Targeting","29057952","KALINI Floral Zari Woven Design Banarasi Saree","ADGROUP_STATUS_DAILY_BUDGET_MET","DAILY_BUDGET_MET","45","0","0.0000",,,"0.00","0","0","0","0.0000","0.0000","0.0000",,,
"CMP1143430","Kalini Saree Feb - 2026","ADG1246115","NEW PROMOTE","Auto Targeting","40091049","KALINI Woven Design Zari Silk Blend Fusion Paithani Saree","ADGROUP_STATUS_EXPIRED","CAMPAIGN_EXPIRED","1","0","0.0000",,,"0.00","0","0","0","0.0000","0.0000","0.0000",,,
"CMP1299835","SATRANI MARCH","ADG1299837","GROW REVENUE RECOMM.","Auto Targeting","30410148","KALINI Woven Design Floral Zari Silk Blend Banarasi Republic Day Saree","ADGROUP_STATUS_EXPIRED","LIVE","4003","86","2.1500","2.3300","1.200000","103.20","0","2","2","0.0000","1066.4900","1066.4900","0.00000000","10.33000000","10.3300"
"CMP1140205","SATRANI FEB","ADG1246031","NEW & PUSH 23 TO 26","Auto Targeting","39657791","Satrani Satin Designer Saree","ADGROUP_STATUS_EXPIRED","CAMPAIGN_EXPIRED","960","20","2.0800","0.0000","1.200000","24.00","0","0","0","0.0000","0.0000","0.0000","0.00000000","0.00000000","0.0000"
"CMP1318141","SANGRIA MARCH 2026","ADG1318143","SANGRIA","Auto Targeting","33365841","Sangria  Women Paisely Printed Saree With Blouse","ADGROUP_STATUS_EXPIRED","LIVE","4870","83","1.7000","0.0000","1.200000","99.60","0","0","0","0.0000","0.0000","0.0000","0.00000000","0.00000000","0.0000"
"CMP1140205","SATRANI FEB","ADG1231610","Satrani Saree med sku 20 to 22 Feb.","Auto Targeting","34784276","Satrani Embellished Sequinned Tissue Saree","ADGROUP_STATUS_EXPIRED","CAMPAIGN_EXPIRED","0","0",,,,"0.00","0","0","0","0.0000","0.0000","0.0000",,,
"CMP1299835","SATRANI MARCH","ADG1299893","SATRANI NEW","Auto Targeting","39656760","Satrani Bandhani Embroidered Pure Georgette Saree","ADGROUP_STATUS_EXPIRED","LIVE","5420","214","3.9500","0.0000","1.200000","256.80","0","0","0","0.0000","0.0000","0.0000","0.00000000","0.00000000","0.0000"
"CMP1318141","SANGRIA MARCH 2026","ADG1318545","AAY STYLES","Auto Targeting","34748821","all about you Sequinned Pure Georgette Leheriya Saree","ADGROUP_STATUS_EXPIRED","LIVE","5812","106","1.8200","0.0000","1.200000","127.20","0","0","0","0.0000","0.0000","0.0000","0.00000000","0.00000000","0.0000"
